PID,isMale,rightHanded,taskType,width,length,rotation,execType,trialRep,totalTime,errorTime,errorNumber,isValid
1,True,True,True,0.02,0.25,Rot1,1,0,1566.3195,0,0,True

1,True,True,True,0.02,0.25,Rot7,1,0,1230.7243,67.796,1,True

1,True,True,True,0.02,0.25,Rot14,1,0,1110.4635,109.6667,1,True

1,True,True,True,0.02,0.25,Rot4,1,0,929.6723,0,0,True

1,True,True,True,0.02,0.25,Rot3,1,0,542.5591,138.7519,1,False

1,True,True,True,0.02,0.25,Rot3,1,0,1310.485,0,0,True

1,True,True,True,0.02,0.25,Rot17,1,0,1028.4371,14.4202,1,False

1,True,True,True,0.02,0.25,Rot11,1,0,222.8949,56.0058,1,False

1,True,True,True,0.02,0.25,Rot11,1,0,430.6181,348.0123,2,False

1,True,True,True,0.02,0.25,Rot11,1,0,266.12,71.0778,1,False

1,True,True,True,0.02,0.25,Rot11,1,0,2749.3023,1107.2396,3,True

1,True,True,True,0.02,0.25,Rot15,1,0,2170.6791,1209.0539,5,True

1,True,True,True,0.02,0.25,Rot17,1,0,297.4451,0,0,False

1,True,True,True,0.02,0.25,Rot17,1,0,1203.0793,718.4814,3,True

1,True,True,True,0.02,0.25,Rot8,1,0,1075.1001,148.9227,2,True

1,True,True,True,0.02,0.25,Rot11,1,0,1275.3967,84.7352,1,True

1,True,True,True,0.02,0.25,Rot1,1,0,747.6068,208.6092,1,False

1,True,True,True,0.02,0.25,Rot1,1,0,1513.6233,352.7428,1,True

1,True,True,True,0.02,0.25,Rot15,1,0,1153.1534,26.7639,1,True

1,True,True,True,0.02,0.25,Rot7,1,0,913.6393,0,0,True

1,True,True,True,0.02,0.25,Rot5,1,0,519.5743,84.1988,1,False

1,True,True,True,0.02,0.25,Rot5,1,0,1237.3688,77.8609,1,True

1,True,True,True,0.02,0.25,Rot6,1,0,1045.0794,185.5054,1,True

