PID,isMale,rightHanded,taskType,width,length,rotation,execType,trialRep,totalTime,errorTime,errorNumber,isValid
0,True,True,True,0.02,0.25,Rot15,0,0,1208.1517,31.4512,1,True

0,True,True,True,0.02,0.25,Rot5,0,0,1403.0841,250.071,1,True

0,True,True,True,0.02,0.25,Rot2,0,0,2277.0978,0,0,True

0,True,True,True,0.02,0.25,Rot1,0,0,1596.7981,82.9826,2,True

0,True,True,True,0.02,0.25,Rot3,0,0,919.0953,0,0,False

0,True,True,True,0.02,0.25,Rot3,0,0,1708.9549,0,0,True

0,True,True,True,0.02,0.25,Rot9,0,0,2374.6193,98.1445,1,True

0,True,True,True,0.02,0.25,Rot8,0,0,1361.0528,0,0,True

0,True,True,True,0.02,0.25,Rot11,0,0,1471.8618,263.7297,2,True

0,True,True,True,0.02,0.25,Rot13,0,0,1541.7026,28.6833,1,True

0,True,True,True,0.02,0.25,Rot16,0,0,1639.0599,373.9912,1,True

0,True,True,True,0.02,0.25,Rot4,0,0,1167.1139,277.9722,2,True

0,True,True,True,0.02,0.25,Rot11,0,0,1346.873,0,0,True

0,True,True,True,0.02,0.25,Rot14,0,0,1430.3292,1.0285,1,True

0,True,True,True,0.02,0.25,Rot8,0,0,292.2959,139.9288,2,False

0,True,True,True,0.02,0.25,Rot8,0,0,902.525,97.0674,2,True

0,True,True,True,0.02,0.25,Rot12,0,0,1471.9978,361.0599,1,True

0,True,True,True,0.02,0.25,Rot10,0,0,763.9226,125.8907,2,True

