PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY,PositionZ,Movement,Speed,Timestamp
1,True,True,0.02,0.25,Rot11,1,0,0.005190969,-2.023576E-05,0.1340585,0.001973469,0.0770389804676886,736.1837

1,True,True,0.02,0.25,Rot11,1,0,0.005176425,-0.0004268528,0.1361907,0.002170608,0.155396394187189,750.1519

1,True,True,0.02,0.25,Rot11,1,0,0.005044163,-0.0008810377,0.1385477,0.002404008,0.173063520772142,764.0428

1,True,True,0.02,0.25,Rot11,1,0,0.004944534,-0.001226463,0.1414889,0.002963111,0.220969365570771,777.4524

1,True,True,0.02,0.25,Rot11,1,0,0.004592717,-0.001271486,0.1441544,0.002689014,0.0657523379722098,818.3485

1,True,True,0.02,0.25,Rot11,1,0,0.004109204,-0.001487778,0.1464406,0.002346769,0.17361998180684,831.8652

1,True,True,0.02,0.25,Rot11,1,0,0.003562272,-0.001646087,0.1488625,0.002487916,0.177058248042591,845.9166

1,True,True,0.02,0.25,Rot11,1,0,0.002257228,-0.001648574,0.1535201,0.004837006,0.355319939237118,859.5297

1,True,True,0.02,0.25,Rot11,1,0,0.001251102,-0.001658094,0.1571932,0.003808409,0.28163084600431,873.0524

1,True,True,0.02,0.25,Rot11,1,0,3.230584E-05,-0.001840153,0.1599225,0.002994607,0.19028719901428,888.7897

1,True,True,0.02,0.25,Rot11,1,0,-0.0009214282,-0.001877547,0.1622906,0.002553152,0.10096140467958,914.0781

1,True,True,0.02,0.25,Rot11,1,0,-0.001164436,-0.001530731,0.1648958,0.002639409,0.0977855752114442,941.0699

1,True,True,0.02,0.25,Rot11,1,0,-0.0009701848,-0.00142626,0.1680233,0.003135283,0.216850045437091,955.5282

1,True,True,0.02,0.25,Rot11,1,0,-0.0006140471,-0.001087673,0.1723334,0.004338009,0.306345737600036,969.6887

1,True,True,0.02,0.25,Rot11,1,0,2.211335E-05,-0.0004085083,0.1769118,0.004671996,0.333292622449019,983.7064

1,True,True,0.02,0.25,Rot11,1,0,0.001320243,0.000378268,0.1823997,0.005694038,0.418814746608447,997.302

1,True,True,0.02,0.25,Rot11,1,0,0.002534509,0.001053482,0.1869724,0.004779048,0.328181716935994,1011.8642

1,True,True,0.02,0.25,Rot11,1,0,0.003907741,0.001309924,0.1909276,0.004194684,0.29934445125473,1025.8771

1,True,True,0.02,0.25,Rot11,1,0,0.005213649,0.001498742,0.1944754,0.0037852,0.278225328661982,1039.4819

1,True,True,0.02,0.25,Rot11,1,0,0.007259847,0.0010825,0.1981111,0.004192689,0.287412612545678,1054.0696

1,True,True,0.02,0.25,Rot11,1,0,0.009141774,0.0006969087,0.201575,0.003960973,0.149749256232888,1080.5203

1,True,True,0.02,0.25,Rot11,1,0,0.01084948,0.0004155469,0.2047951,0.003655674,0.13437063904668,1107.7262

1,True,True,0.02,0.25,Rot11,1,0,0.01067346,-0.0001267461,0.207664,0.002925024,0.211267839731667,1121.5713

1,True,True,0.02,0.25,Rot11,1,0,0.01039764,-0.0008375632,0.2117721,0.004178242,0.302190886504552,1135.3978

1,True,True,0.02,0.25,Rot11,1,0,0.01042706,-0.001550288,0.2161322,0.004418105,0.299329630939699,1150.1578

1,True,True,0.02,0.25,Rot11,1,0,0.01018494,-0.00197006,0.2212802,0.005170736,0.370816253081316,1164.102

1,True,True,0.02,0.25,Rot11,1,0,0.009951145,-0.002329857,0.2255027,0.004244258,0.30793427857754,1177.885

1,True,True,0.02,0.25,Rot11,1,0,0.008756549,-0.001989331,0.2321329,0.006745601,0.471094392572539,1192.204

1,True,True,0.02,0.25,Rot11,1,0,0.007836134,-0.001861331,0.2375473,0.005493563,0.389926901291334,1206.2927

1,True,True,0.02,0.25,Rot11,1,0,0.007113219,-0.001863902,0.2420388,0.004549226,0.168561014364908,1233.2813

1,True,True,0.02,0.25,Rot11,1,0,0.006858767,-0.002920303,0.2458249,0.003938946,0.280144657451215,1247.3417

1,True,True,0.02,0.25,Rot11,1,0,0.007081808,-0.002642734,0.2499955,0.004185814,0.315993956500715,1260.5882

1,True,True,0.02,0.25,Rot11,1,0,0.007447422,-0.002318719,0.2547027,0.004732529,0.328885387160581,1274.9778

