PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY,PositionZ,Movement,Speed,Timestamp
1,True,True,0.02,0.25,Rot3,1,0,-0.001081973,-0.001631975,-0.0003526658,0,0,0.0052

1,True,True,0.02,0.25,Rot3,1,0,-0.001194209,-0.001278162,0.00120195,0.001598315,0.112820374550006,14.1721

1,True,True,0.02,0.25,Rot3,1,0,-0.001349837,-0.0008107424,0.003161766,0.002020787,0.142877400669452,28.3156

1,True,True,0.02,0.25,Rot3,1,0,-0.001585663,-0.0002368689,0.005534515,0.002452526,0.180496020362506,41.9033

1,True,True,0.02,0.25,Rot3,1,0,-0.001714885,0.000860095,0.008508183,0.003172181,0.218486307378393,56.4222

1,True,True,0.02,0.25,Rot3,1,0,-0.00174737,0.001810789,0.01104224,0.002706722,0.190410398075141,70.6374

1,True,True,0.02,0.25,Rot3,1,0,-0.001704365,0.002142787,0.01236263,0.001362163,0.10249530791429,83.9274

1,True,True,0.02,0.25,Rot3,1,0,-0.001573086,0.002426267,0.01356776,0.001244965,0.086290481003772,98.355

1,True,True,0.02,0.25,Rot3,1,0,-0.00144279,0.002448082,0.01473644,0.001176126,0.0430108143640652,125.6999

1,True,True,0.02,0.25,Rot3,1,0,-0.001306892,0.002484441,0.01593976,0.001211509,0.0834228869487177,140.2224

1,True,True,0.02,0.25,Rot3,1,0,-0.001294106,0.002948165,0.01728574,0.001423685,0.109255361430006,153.2532

1,True,True,0.02,0.25,Rot3,1,0,-0.001117528,0.003742814,0.01960991,0.002462604,0.175153404123236,167.3129

1,True,True,0.02,0.25,Rot3,1,0,-0.001151621,0.004717708,0.02348274,0.003993791,0.287894745133131,181.1853

1,True,True,0.02,0.25,Rot3,1,0,-0.001115173,0.005608201,0.02692436,0.003555149,0.255584085635498,195.0952

1,True,True,0.02,0.25,Rot3,1,0,-0.001016677,0.006386161,0.02984684,0.003025853,0.113366035077608,221.7862

1,True,True,0.02,0.25,Rot3,1,0,-0.001159966,0.007211447,0.03393511,0.004173203,0.274710058112467,236.9775

1,True,True,0.02,0.25,Rot3,1,0,-0.001852394,0.008153796,0.03719677,0.00346495,0.276481535720269,249.5098

1,True,True,0.02,0.25,Rot3,1,0,-0.002438367,0.009101868,0.04088442,0.003852397,0.261953804892841,264.2162

1,True,True,0.02,0.25,Rot3,1,0,-0.002568722,0.009153724,0.04322117,0.002340955,0.167758714297133,278.1705

1,True,True,0.02,0.25,Rot3,1,0,-0.002627284,0.009188414,0.04542635,0.002206236,0.0830389101163418,304.7392

