PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY,PositionZ,Movement,Speed,Timestamp
1,True,True,0.02,0.25,Rot15,1,0,0.001531606,0.00069499,0.0004257932,0,0,0.0062

1,True,True,0.02,0.25,Rot15,1,0,0.002827442,0.001584172,0.004019037,0.003921892,0.14660292123528,26.758

1,True,True,0.02,0.25,Rot15,1,0,0.003853887,0.003125191,0.009949878,0.006213147,0.226196658397382,54.2259

1,True,True,0.02,0.25,Rot15,1,0,0.004371379,0.00457251,0.0170657,0.007279939,0.626344459488588,65.8488

1,True,True,0.02,0.25,Rot15,1,0,0.005114776,0.00619626,0.02449515,0.007641062,0.611089422621943,78.3528

1,True,True,0.02,0.25,Rot15,1,0,0.005933471,0.007774233,0.03115559,0.006893599,0.51106852751386,91.8414

1,True,True,0.02,0.25,Rot15,1,0,0.005933913,0.00777471,0.03115746,1.979982E-06,0.000151448910117474,104.915

1,True,True,0.02,0.25,Rot15,1,0,0.006504102,0.008559704,0.03552954,0.004478442,0.174484509162756,130.5817

1,True,True,0.02,0.25,Rot15,1,0,0.006392163,0.008468509,0.03777247,0.002247573,0.162859321895437,144.3824

1,True,True,0.02,0.25,Rot15,1,0,0.006353293,0.008498192,0.03974393,0.001972067,0.160217358671163,156.6911

1,True,True,0.02,0.25,Rot15,1,0,0.0058832,0.007653713,0.04298206,0.003379289,0.23462561662316,171.094

1,True,True,0.02,0.25,Rot15,1,0,0.005432363,0.006913304,0.04618744,0.003320531,0.128584651073909,196.9177

1,True,True,0.02,0.25,Rot15,1,0,0.004814574,0.005633711,0.04936611,0.003481806,0.252266362175689,210.7198

1,True,True,0.02,0.25,Rot15,1,0,0.004252072,0.004510521,0.05267871,0.003542782,0.256168271256596,224.5497

1,True,True,0.02,0.25,Rot15,1,0,0.004080463,0.003750682,0.05736773,0.004753287,0.363173501012476,237.6379

1,True,True,0.02,0.25,Rot15,1,0,0.003871404,0.003085732,0.06138033,0.004072692,0.28497500451906,251.9293

1,True,True,0.02,0.25,Rot15,1,0,0.004054524,0.003242016,0.06635903,0.004984511,0.18522137937516,278.8404

1,True,True,0.02,0.25,Rot15,1,0,0.004125384,0.003281712,0.07070979,0.004351525,0.297690772503653,293.458

1,True,True,0.02,0.25,Rot15,1,0,0.004311665,0.002743721,0.073586,0.002932013,0.239451638515448,305.7027

1,True,True,0.02,0.25,Rot15,1,0,0.004374327,0.002063155,0.07740889,0.003883504,0.289250363751213,319.1288

1,True,True,0.02,0.25,Rot15,1,0,0.004332206,0.001950502,0.08021946,0.00281314,0.198819699879627,333.278

1,True,True,0.02,0.25,Rot15,1,0,0.004322702,0.001847625,0.08285207,0.00263463,0.0968094187384941,360.4926

1,True,True,0.02,0.25,Rot15,1,0,0.003973447,0.001541257,0.08578745,0.002971918,0.110532393496335,387.3799

1,True,True,0.02,0.25,Rot15,1,0,0.002925165,0.0009835956,0.0889451,0.003373522,0.229885402966245,402.0547

1,True,True,0.02,0.25,Rot15,1,0,0.001554239,0.0002201795,0.09367479,0.004983198,0.35066769617989,416.2653

1,True,True,0.02,0.25,Rot15,1,0,0.0001098662,-0.001555324,0.09812213,0.005001746,0.354193684670092,430.3868

1,True,True,0.02,0.25,Rot15,1,0,-0.001094643,-0.002925158,0.1020064,0.004291226,0.31516746773171,444.0025

1,True,True,0.02,0.25,Rot15,1,0,-0.002126936,-0.004044533,0.1054678,0.003781576,0.256409336410048,458.7507

1,True,True,0.02,0.25,Rot15,1,0,-0.002364686,-0.004850864,0.1086948,0.003334674,0.24401244350169,472.4167

1,True,True,0.02,0.25,Rot15,1,0,-0.002612852,-0.005576372,0.1118036,0.003201929,0.228702690914154,486.4171

1,True,True,0.02,0.25,Rot15,1,0,-0.002498845,-0.006005287,0.116296,0.004514263,0.168648443331095,513.1844

1,True,True,0.02,0.25,Rot15,1,0,-0.002472176,-0.006366491,0.1207514,0.004470174,0.321548966707779,527.0864

1,True,True,0.02,0.25,Rot15,1,0,-0.002807997,-0.006498456,0.1263996,0.00565965,0.41086087318747,540.8615

1,True,True,0.02,0.25,Rot15,1,0,-0.003311599,-0.006807208,0.1324652,0.006094289,0.428207260108626,555.0936

1,True,True,0.02,0.25,Rot15,1,0,-0.002319468,-0.005444884,0.1405899,0.008297645,0.593040485113937,569.0853

1,True,True,0.02,0.25,Rot15,1,0,-0.001748062,-0.004394889,0.1473858,0.006900234,0.433630602113094,584.998

1,True,True,0.02,0.25,Rot15,1,0,-0.00170414,-0.003890991,0.1511269,0.003775213,0.154478726665887,609.4364

1,True,True,0.02,0.25,Rot15,1,0,-0.001696032,-0.003484011,0.1545661,0.003463209,0.209132235594126,625.9963

1,True,True,0.02,0.25,Rot15,1,0,-0.001425649,-0.003421068,0.1564146,0.001869219,0.170536742067597,636.9571

1,True,True,0.02,0.25,Rot15,1,0,-0.001084365,-0.003288388,0.1594728,0.003079979,0.214161095762453,651.3387

1,True,True,0.02,0.25,Rot15,1,0,-0.0005187119,-0.002181649,0.1623038,0.003091824,0.198895109283576,666.8837

1,True,True,0.02,0.25,Rot15,1,0,-2.39711E-05,-0.001246572,0.1650769,0.002968081,0.116627208114849,692.333

1,True,True,0.02,0.25,Rot15,1,0,0.001164907,-0.0004506112,0.1685943,0.003797251,0.137868293679464,719.8756

1,True,True,0.02,0.25,Rot15,1,0,0.002069979,-0.0003089906,0.1710522,0.002623055,0.219903704085609,731.8038

1,True,True,0.02,0.25,Rot15,1,0,0.003135557,-0.0001398327,0.1742919,0.00341464,0.260583950479074,744.9076

1,True,True,0.02,0.25,Rot15,1,0,0.004296313,0.0002911088,0.1783151,0.004209413,0.331956904839279,757.5882

1,True,True,0.02,0.25,Rot15,1,0,0.004296544,0.0002917048,0.178316,1.075178E-06,7.78533108599074E-05,771.3985

1,True,True,0.02,0.25,Rot15,1,0,0.004657817,0.0008518693,0.1793051,0.001192781,0.0747356751704946,787.3585

1,True,True,0.02,0.25,Rot15,1,0,0.004926124,0.001416921,0.1803319,0.001202271,0.100282883719898,799.3473

1,True,True,0.02,0.25,Rot15,1,0,0.005270063,0.001903653,0.1815466,0.001353098,0.0500171133804338,826.4

1,True,True,0.02,0.25,Rot15,1,0,0.005270306,0.001906395,0.1815514,5.544555E-06,0.00019395101614356,854.9874

1,True,True,0.02,0.25,Rot15,1,0,0.005488078,0.002845406,0.1846153,0.003211928,0.259365305145936,867.3712

1,True,True,0.02,0.25,Rot15,1,0,0.005943991,0.003992795,0.1894757,0.005014764,0.393216145360903,880.1244

1,True,True,0.02,0.25,Rot15,1,0,0.005943991,0.003992795,0.1894757,0,0,894.1553

1,True,True,0.02,0.25,Rot15,1,0,0.006333586,0.004845619,0.1970743,0.007656177,0.568484342131782,907.623

1,True,True,0.02,0.25,Rot15,1,0,0.006585572,0.005515813,0.2026798,0.005651121,0.443688006137197,920.3597

1,True,True,0.02,0.25,Rot15,1,0,0.006153609,0.005858302,0.2067148,0.004072449,0.296350543592855,934.1017

1,True,True,0.02,0.25,Rot15,1,0,0.005796793,0.006157755,0.2100577,0.003375211,0.12649956521636,960.7833

1,True,True,0.02,0.25,Rot15,1,0,0.004943141,0.005987167,0.2111703,0.001412713,0.0514420859388753,988.2455

1,True,True,0.02,0.25,Rot15,1,0,0.003888616,0.005607008,0.2121332,0.00147774,0.113729172780339,1001.239

1,True,True,0.02,0.25,Rot15,1,0,0.002040572,0.004911065,0.2140253,0.002734857,0.190073717719523,1015.6274

1,True,True,0.02,0.25,Rot15,1,0,-0.0004715387,0.003965735,0.2167185,0.003802297,0.24414233703426,1031.2015

1,True,True,0.02,0.25,Rot15,1,0,-0.003233422,0.003050685,0.2210004,0.005176914,0.424957226487438,1043.3837

1,True,True,0.02,0.25,Rot15,1,0,-0.005602696,0.002258182,0.2247521,0.004507435,0.176266519410054,1068.9554

1,True,True,0.02,0.25,Rot15,1,0,-0.007259299,0.001655341,0.228071,0.00375799,0.138517884194982,1096.0854

1,True,True,0.02,0.25,Rot15,1,0,-0.007943911,0.0008077627,0.2324776,0.004539355,0.31424440505358,1110.5307

1,True,True,0.02,0.25,Rot15,1,0,-0.008919274,-0.0002212518,0.2376239,0.005337972,0.381894726440527,1124.5083

1,True,True,0.02,0.25,Rot15,1,0,-0.008626406,-0.0004988903,0.2452586,0.007645357,0.555666325082593,1138.2672

1,True,True,0.02,0.25,Rot15,1,0,-0.008588516,-0.0007840389,0.2512531,0.006001456,0.415529857230852,1152.7101

