ParticipantNumber; Nurse; Click Counter; Left Handed; Assistance Activated; Controller Position; Pointer Position; Camera Position; Target Position; Calibration Point Position 1; Calibration Point Position 2; Calibration Point Position 3; Calibration Point Position 4; Calibration Point Position 5; Calibration Point Position 6; Syringe angle x; Syringe angle y; Syringe angle z; Angle Offset X ; Angle Offset Y ; Distance b/w Syringe and Insert position; Is Inside; Selection Collider; Recorder Collider; Total Time; Time Seconds; Time Milliseconds; 
7;False;1;False;True;(0.19, 0.82, 0.32);(0.16, 0.72, 0.45);(0.09, 1.11, 0.06);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);34.14018;349.8309;36.42093;-1.859818;1.980865;0.001207887;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);70.38;70.38;70380
7;False;2;False;True;(0.18, 0.83, 0.33);(0.16, 0.72, 0.45);(0.07, 1.10, 0.08);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);39.39441;352.9733;35.45528;3.394413;5.12326;0.0006408534;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);92.56;22.18;22180
7;False;3;False;True;(0.18, 0.83, 0.32);(0.16, 0.72, 0.45);(0.07, 1.09, 0.11);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);36.80556;355.2023;39.77729;0.8055573;7.352325;0.001441316;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);101.44;8.879997;8879.997
7;False;4;False;True;(0.18, 0.83, 0.32);(0.16, 0.72, 0.45);(0.08, 1.10, 0.10);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);37.05917;354.9718;39.50765;1.05917;7.121826;0.0009639548;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);108.32;6.880005;6880.005
7;False;5;False;True;(0.18, 0.82, 0.31);(0.16, 0.72, 0.45);(0.07, 1.12, 0.09);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);31.24489;352.9703;36.40451;-4.755112;5.120331;0.001475598;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);130.18;21.85999;21859.99
7;False;6;False;True;(0.18, 0.83, 0.32);(0.16, 0.72, 0.45);(0.07, 1.11, 0.11);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);37.89185;353.0859;34.70119;1.891846;5.235901;0.0006215275;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);141.36;11.18001;11180.01
7;False;7;False;True;(0.20, 0.82, 0.32);(0.17, 0.72, 0.45);(0.07, 1.11, 0.10);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);36.23108;348.1599;8.359001;0.2310791;0.3099365;0.004094579;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);156.04;14.67999;14679.99
7;False;8;False;True;(0.20, 0.82, 0.32);(0.16, 0.72, 0.45);(0.06, 1.11, 0.10);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);33.98503;347.9984;8.37411;-2.014965;0.148407;0.001443599;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);165.24;9.199997;9199.997
7;False;9;False;True;(0.20, 0.83, 0.33);(0.16, 0.72, 0.45);(0.06, 1.11, 0.11);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);37.95422;347.6198;5.008832;1.954224;-0.2302551;0.001442483;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);172.28;7.040009;7040.009
7;False;10;False;True;(0.20, 0.82, 0.32);(0.17, 0.72, 0.45);(0.06, 1.10, 0.12);(0.16, 0.72, 0.45);(0.20, 0.85, 0.61);(0.14, 0.85, 0.61);(0.11, 0.70, 0.52);(0.17, 0.69, 0.52);(0.12, 0.67, 0.28);(0.16, 0.66, 0.29);36.1901;346.9495;4.050988;0.1901016;-0.9005432;0.002647355;True;(0.16, 0.72, 0.95);(0.16, 0.72, 0.45);179;6.720001;6720.001
