PID,PathType,Width,Length,Depth,Width_P,Length_P,Rotation,Rep,PointIndex,BoardX,BoardY,BoardZ,WorldX,WorldY,WorldZ
23,3,2,25,4,0.1396,1.773552,RL,0,44,-0.289605,-1.552314,-0.985908,0.289605,1.447686,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,45,-0.2750546,-1.543507,-0.985908,0.2750546,1.456493,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,46,-0.2603375,-1.536867,-0.985908,0.2603375,1.463133,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,47,-0.246427,-1.532854,-0.985908,0.246427,1.467146,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,48,-0.2341631,-1.527366,-0.985908,0.2341631,1.472634,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,49,-0.2221397,-1.520545,-0.985908,0.2221397,1.479455,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,50,-0.2054272,-1.505389,-0.985908,0.2054272,1.494611,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,51,-0.1955063,-1.499097,-0.985908,0.1955063,1.500903,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,52,-0.1793357,-1.494787,-0.985908,0.1793357,1.505213,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,53,-0.1631913,-1.494455,-0.985908,0.1631913,1.505545,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,54,-0.1489657,-1.495523,-0.985908,0.1489657,1.504477,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,55,-0.1328089,-1.499148,-0.985908,0.1328089,1.500852,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,56,-0.1076552,-1.506418,-0.985908,0.1076552,1.493582,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,57,-0.09515659,-1.511359,-0.985908,0.09515659,1.488641,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,58,-0.08256957,-1.515066,-0.985908,0.08256957,1.484934,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,59,-0.06959841,-1.517425,-0.985908,0.06959841,1.482575,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,60,-0.05762188,-1.520062,-0.985908,0.05762188,1.479938,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,61,-0.04811549,-1.523565,-0.985908,0.04811549,1.476435,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,62,-0.03631068,-1.530015,-0.985908,0.03631068,1.469985,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,63,-0.02413161,-1.540038,-0.985908,0.02413161,1.459962,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,64,-0.01298194,-1.548862,-0.985908,0.01298194,1.451138,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,65,-0.001541167,-1.557324,-0.985908,0.001541167,1.442676,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,66,0.01332978,-1.564477,-0.985908,-0.01332978,1.435523,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,67,0.02743793,-1.571059,-0.985908,-0.02743793,1.428941,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,68,0.04422715,-1.578469,-0.985908,-0.04422715,1.421531,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,69,0.06080227,-1.585427,-0.985908,-0.06080227,1.414573,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,70,0.07581337,-1.59369,-0.985908,-0.07581337,1.40631,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,71,0.08751619,-1.601743,-0.985908,-0.08751619,1.398257,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,72,0.09562667,-1.609697,-0.985908,-0.09562667,1.390303,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,73,0.1101933,-1.625256,-0.985908,-0.1101933,1.374744,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,74,0.1214194,-1.632229,-0.985908,-0.1214194,1.367771,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,75,0.1350836,-1.639508,-0.985908,-0.1350836,1.360492,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,76,0.1446491,-1.647695,-0.985908,-0.1446491,1.352305,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,77,0.1573337,-1.653216,-0.985908,-0.1573337,1.346784,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,78,0.1765466,-1.660044,-0.985908,-0.1765466,1.339956,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,79,0.1950613,-1.668599,-0.985908,-0.1950613,1.331401,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,80,0.2139858,-1.677687,-0.985908,-0.2139858,1.322313,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,81,0.2284225,-1.689096,-0.985908,-0.2284225,1.310904,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,82,0.2380976,-1.698652,-0.985908,-0.2380976,1.301348,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,83,0.2476661,-1.705435,-0.985908,-0.2476661,1.294565,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,84,0.2596566,-1.711354,-0.985908,-0.2596566,1.288646,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,85,0.2810328,-1.714148,-0.985908,-0.2810328,1.285852,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,86,0.3002894,-1.722388,-0.985908,-0.3002894,1.277612,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,87,0.3201089,-1.73078,-0.985908,-0.3201089,1.26922,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,88,0.3399171,-1.742461,-0.985908,-0.3399171,1.257539,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,89,0.3601145,-1.751131,-0.985908,-0.3601145,1.248869,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,90,0.3735075,-1.760773,-0.985908,-0.3735075,1.239227,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,91,0.3854219,-1.767084,-0.985908,-0.3854219,1.232916,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,92,0.4006086,-1.773386,-0.985908,-0.4006086,1.226614,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,93,0.4176189,-1.775891,-0.985908,-0.4176189,1.224109,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,94,0.4328828,-1.7798,-0.985908,-0.4328828,1.2202,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,95,0.4476484,-1.784764,-0.985908,-0.4476484,1.215236,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,96,0.4624468,-1.784379,-0.985908,-0.4624468,1.215621,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,97,0.4800874,-1.7859,-0.985908,-0.4800874,1.2141,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,98,0.5006741,-1.784747,-0.985908,-0.5006741,1.215253,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,99,0.5178533,-1.783683,-0.985908,-0.5178533,1.216317,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,100,0.5307668,-1.778208,-0.985908,-0.5307668,1.221792,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,101,0.5469952,-1.774314,-0.985908,-0.5469952,1.225686,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,102,0.564649,-1.768044,-0.985908,-0.564649,1.231956,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,103,0.5831348,-1.763748,-0.985908,-0.5831348,1.236252,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,104,0.5986507,-1.759189,-0.985908,-0.5986507,1.240811,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,105,0.6188388,-1.749847,-0.985908,-0.6188388,1.250153,4.014092
23,3,2,25,4,0.1396,1.773552,RL,0,106,0.6379449,-1.735867,-0.985908,-0.6379449,1.264133,4.014092
23,3,2,25,4,0.1396,1.773552,LR,0,0,-0.663736,-1.683269,-0.8208327,-0.663736,1.316731,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,1,-0.6558542,-1.691438,-0.8208327,-0.6558542,1.308562,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,2,-0.6500525,-1.702766,-0.8208327,-0.6500525,1.297234,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,3,-0.6391551,-1.722759,-0.8208327,-0.6391551,1.277241,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,4,-0.6329137,-1.733356,-0.8208327,-0.6329137,1.266644,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,5,-0.6160948,-1.7396,-0.8208327,-0.6160948,1.2604,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,6,-0.6004927,-1.743271,-0.8208327,-0.6004927,1.256729,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,7,-0.5907629,-1.749521,-0.8208327,-0.5907629,1.250479,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,8,-0.5781962,-1.749446,-0.8208327,-0.5781962,1.250554,4.179167
