PID,isMale,rightHanded,Width_B,Length_B,Depth,Dir,PathType,Width_P,Length_P,Width_A,Length_A,Rep,isValid,MovementTime,StrokeN,MeanX,SDx,MeanX_A,SDx_A,Ae,Ae_A
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,1203.6985,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2228.8353,33,0.003284558,0.004843587,0.1881912,0.2775165,0.4290785,24.21729
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,2546.2206,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,223.6981,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2274.2437,29,-0.001805096,0.008171728,-0.1034243,0.4682029,0.3900438,22.07084
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,3274.4829,45,-0.001595239,0.004934944,-0.09140043,0.2827509,0.5815896,32.42831
23,False,True,2,35,1,LR,3,0.0349,0.630596,2,35,0,True,3719.3361,43,-0.003206259,0.005630757,-0.183705,0.3226178,0.5972354,33.25311
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2117.3277,28,0.0001629825,0.005829538,0.009338208,0.334007,0.3929085,22.22892
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2138.8371,30,0.002785124,0.004319079,0.1595757,0.2474646,0.407561,23.03611
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2427.5212,30,-0.004766179,0.005543892,-0.2730815,0.3176408,0.3883776,21.97886
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,654.8156,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,1991.3821,28,0.0002425985,0.005077547,0.01389987,0.2909214,0.3930411,22.23623
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,False,188.2579,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2347.0337,31,-0.002472524,0.006296195,-0.1416651,0.3607442,0.408962,23.11317
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2149.2369,30,-0.001633068,0.004724199,-0.09356789,0.2706762,0.4187751,23.65233
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,3342.2908,43,-0.003220001,0.00647245,-0.1844923,0.3708428,0.5902358,32.88455
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,False,550.6953,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2597.5932,29,0.0003069493,0.005334726,0.0175869,0.3056566,0.3857276,21.8325
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2424.56,30,-0.0005106659,0.005495701,-0.029259,0.3148797,0.3982605,22.52402
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,3455.669,44,-0.0004907178,0.006545012,-0.02811606,0.3750003,0.5873795,32.73394
23,False,True,2,35,1,LR,3,0.0349,0.630596,2,35,0,True,2805.2607,41,9.641011E-05,0.007918853,0.005523892,0.4537145,0.5627962,31.433
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2612.772,32,-0.002509894,0.00604409,-0.1438063,0.3462998,0.405632,22.92998
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2321.1196,32,0.0009742298,0.004266672,0.05581925,0.2444619,0.3987801,22.55265
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2224.3858,31,-0.0004215105,0.004792353,-0.02415077,0.2745811,0.4087731,23.10278
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,2876.376,41,-0.001118528,0.009539806,-0.06408691,0.5465865,0.5691354,31.76928
23,False,True,2,35,1,LR,3,0.0349,0.630596,2,35,0,False,500.6542,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2445.6379,31,-0.002753632,0.006284666,-0.1577714,0.3600837,0.3991558,22.57335
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2107.2065,31,-0.002506109,0.004783093,-0.1435894,0.2740505,0.3930828,22.23853
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,3125.0919,42,-0.00169442,0.006952532,-0.0970831,0.3983491,0.5663768,31.62301
23,False,True,2,35,1,LR,3,0.0349,0.630596,2,35,0,False,652.8756,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,RL,3,0.0349,0.443388,2,25,0,True,2347.686,31,-0.004028452,0.003648989,-0.230813,0.2090714,0.3971262,22.4615
23,False,True,2,25,1,LR,3,0.0349,0.443388,2,25,0,True,2175.7857,30,0.001956022,0.006539889,0.1120717,0.3747067,0.3986571,22.54587
23,False,True,2,35,1,RL,3,0.0349,0.630596,2,35,0,True,3047.7233,43,-0.003674838,0.007042957,-0.2105525,0.40353,0.5673002,31.67199
23,False,True,2,25,1,LR,2,0.0349,0.443388,2,25,0,True,2674.0103,35,-0.0006494648,0.004010391,-0.03721159,0.2297782,0.4348597,24.53376
23,False,True,2,25,1,RL,2,0.0349,0.443388,2,25,0,False,908.4172,0,NaN,NaN,NaN,NaN,0,0
23,False,True,2,25,1,LR,2,0.0349,0.443388,2,25,0,True,2913.0327,34,0.002184307,0.004399652,0.1251515,0.2520811,0.4415349,24.89871
23,False,True,2,25,1,RL,2,0.0349,0.443388,2,25,0,True,2704.8158,34,-3.173947E-06,0.004157499,-0.0001818538,0.2382068,0.4313092,24.33945
23,False,True,2,35,1,LR,2,0.0349,0.630596,2,35,0,True,3259.9203,46,0.001664038,0.004830449,0.09534235,0.2767638,0.6258844,34.75421
23,False,True,2,35,1,RL,2,0.0349,0.630596,2,35,0,False,316.9515,0,NaN,NaN,NaN,NaN,0,0
