PID,PathType,Width,Length,Depth,Width_P,Length_P,Rotation,Rep,PointIndex,BoardX,BoardY,BoardZ,WorldX,WorldY,WorldZ
17,2,2,25,4,0.1396,1.773552,RL,0,0,0.01131693,-0.001000199,0.2748396,0.2777403,1.896175,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,1,0.02170184,-0.001000199,0.2784454,0.2673554,1.899781,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,2,0.03232905,-0.0010002,0.2843173,0.2567282,1.905653,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,3,0.04176839,-0.001000201,0.2910465,0.2472889,1.912382,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,4,0.05018407,-0.001000201,0.2980117,0.2388732,1.919347,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,5,0.06438215,-0.001000202,0.2984266,0.2246751,1.919762,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,6,0.074745,-0.001000201,0.2977291,0.2143123,1.919065,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,7,0.08560675,-0.001000201,0.2934475,0.2034505,1.914783,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,8,0.1016542,-0.0010002,0.2872394,0.1874031,1.908575,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,9,0.1099704,-0.001000199,0.278129,0.1790869,1.899464,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,10,0.1192857,-0.001000199,0.273026,0.1697716,1.894361,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,11,0.1392912,-0.001000198,0.2702136,0.1497661,1.891549,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,12,0.1557156,-0.001000197,0.26473,0.1333417,1.886065,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,13,0.1675457,-0.001000197,0.2613189,0.1215116,1.882654,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,14,0.1822951,-0.001000196,0.2534418,0.1067621,1.874777,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,15,0.1925426,-0.001000195,0.2429634,0.09651463,1.864299,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,16,0.2014255,-0.001000194,0.2379894,0.08763175,1.859325,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,17,0.213864,-0.001000194,0.2324613,0.07519324,1.853797,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,18,0.2348212,-0.001000192,0.2224096,0.05423602,1.843745,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,19,0.2443523,-0.001000191,0.2141676,0.04470491,1.835503,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,20,0.2549194,-0.001000191,0.2057905,0.03413785,1.827126,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,21,0.2714932,-0.001000189,0.192867,0.01756403,1.814202,3.853175
17,2,2,25,4,0.1396,1.773552,RL,0,22,0.2786137,-0.001000188,0.1840606,0.01044351,1.805396,3.853175
