x,y
0.0009558553,-0.0002818234
0.001054673,-0.0003521185
0.001549729,-0.0007854502
0.002119721,-0.001297638
0.001352728,-0.00158472
0.0009258647,-0.001461856
0.0006186009,-0.002020483
0,0
-0.0001181214,-0.0002969141
-0.002983978,-0.002629085
-0.005259777,-0.003364167
-0.009432805,-0.004341842
-0.01339434,-0.005021684
-0.01335461,-0.005327644
-0.01326897,-0.005431113
-0.01417443,-0.00563977
-0.01076582,-0.006276947
-0.01036182,-0.00675841
-0.01148001,-0.007891023
-0.01041062,-0.007786342
-0.01056557,-0.008012276
-0.01081984,-0.008120724
-0.01181974,-0.008396334
-0.01178091,-0.0083912
-0.01214192,-0.008379631
-0.01265251,-0.007517051
-0.01257247,-0.006893619
-0.01469358,-0.005902285
-0.0155225,-0.005482712
-0.01803272,-0.004921703
-0.01559045,-0.005211947
-0.01385327,-0.005075428
-0.0122956,-0.004543982
-0.01187539,-0.00408967
-0.00995117,-0.003311495
-0.009503402,-0.00289146
-0.006989162,-0.001893608
-0.006456425,-0.001426635
-0.005542658,-0.0007451275
-0.008091239,-0.000173831
-0.009705628,0.0004515018
-0.0165655,0.003052889
-0.01919002,0.004731221
-0.02168728,0.006844786
-0.02661305,0.007715007
-0.02777881,0.006600092
-0.02738416,0.00612593
-0.02690534,0.005329296
-0.02307187,0.002494073
-0.02554278,0.003657619
-0.02612136,0.004226631
-0.02701604,0.004982783
-0.02848924,0.005596611
-0.02944413,0.005925255
-0.03018085,0.003983338
-0.03086806,0.00366769
-0.029607,0.002481352
-0.02641183,0.0002456484
-0.02562744,-0.0003403385
-0.02526431,-0.0005511947
-0.02547257,-0.0004484374
-0.02704778,0.0005673018
-0.02948517,0.001790848
-0.03222045,0.003321427
-0.03338812,0.004427571
-0.03262339,0.004961929
-0.0316809,0.005207297
-0.03142712,0.005297068
-0.02542735,0.003261551
-0.02380665,0.003043862
-0.02205124,0.002791529
-0.02144808,0.002785585
-0.02045374,0.002073014
-0.01886794,0.001438314
-0.01691103,0.0005363298
-0.01276598,-0.0006645796
-0.01085146,-0.001033668
-0.007647146,-0.000849162
-0.006991412,-0.0002783927
-0.006363857,3.133624E-05
-0.007039887,0.0008601064
-0.009947078,0.002536258
-0.01128985,0.003434785
-0.01215622,0.004128497
-0.01256205,0.005217177
-0.01280006,0.005270729
-0.01490565,0.00444804
-0.01541032,0.003895103
-0.01610334,0.002704407
-0.00307957,-0.003577949
-0.004394274,-0.004367309
-0.01300334,-0.0090353
-0.01633085,-0.01171712
-0.02342713,-0.01319328
-0.02493481,-0.01344199
-0.02731145,-0.01504301
-0.02862301,-0.01597832
-0.02943529,-0.01838836
-0.02982422,-0.01932356
-0.02723228,-0.01981411
-0.02672056,-0.02012496
-0.02174762,-0.01941367
-0.01333765,-0.0198048
-0.01023058,-0.0200875
-0.002565646,-0.02277918
-0.0001962786,-0.02396283
0.003249579,-0.0253665
0.008151072,-0.02574472
0.01048426,-0.02596009
0.01362893,-0.02544103
0.01561624,-0.02558259
0.01994045,-0.02618955
0.02274056,-0.02688083
0.02483963,-0.02695297
0.02050122,-0.02418964
0.01952763,-0.02335277
0.01446436,-0.01913855
0.01406487,-0.01826552
0.007213425,-0.008624985
0.003499277,-0.005298043
0.0002608955,-0.0005967491
0.0005403149,-0.001432133
0.001039321,-0.003430376
0.00114422,-0.004253728
0.0002876188,-0.003502813
0.0001866713,-0.003833139
-0.0007328297,-0.002671276
-0.003406727,-0.00447678
-0.004947967,-0.005498294
-0.004405417,-0.007335529
-0.003847138,-0.008337193
-0.004571246,-0.01028157
-0.00556947,-0.01154525
-0.006363042,-0.0122868
-0.009613857,-0.01416534
-0.01146018,-0.01512874
-0.01582895,-0.01563272
-0.0175838,-0.01580033
-0.0174147,-0.01603815
-0.01858047,-0.01666604
-0.02144977,-0.01737393
-0.02186622,-0.01688085
