PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY
0,True,False,0.02,0.2,Rot0,0,0,-0.003764603,0.005198062

0,True,False,0.02,0.2,Rot0,0,0,-0.00431663,0.005527556

0,True,False,0.02,0.2,Rot0,0,0,-0.004741255,0.00554365

0,True,False,0.02,0.2,Rot0,0,0,-0.005043674,0.005535305

0,True,False,0.02,0.2,Rot0,0,0,-0.005268186,0.005520642

0,True,False,0.02,0.2,Rot0,0,0,-0.005606154,0.005511016

0,True,False,0.02,0.2,Rot0,0,0,-0.005843091,0.005157829

0,True,False,0.02,0.2,Rot0,0,0,-0.006087817,0.004601658

0,True,False,0.02,0.2,Rot0,0,0,-0.006275892,0.004151047

0,True,False,0.02,0.2,Rot0,0,0,-0.006300348,0.003742695

0,True,False,0.02,0.2,Rot0,0,0,-0.006332914,0.00301227

0,True,False,0.02,0.2,Rot0,0,0,-0.005992954,0.002559126

0,True,False,0.02,0.2,Rot0,0,0,-0.005992963,0.002559066

0,True,False,0.02,0.2,Rot0,0,0,-0.006051885,0.00219664

0,True,False,0.02,0.2,Rot0,0,0,-0.00588374,0.001651973

0,True,False,0.02,0.2,Rot0,0,0,-0.005621614,0.001061499

0,True,False,0.02,0.2,Rot0,0,0,-0.005361687,0.0004829167

0,True,False,0.02,0.2,Rot0,0,0,-0.005226608,3.242473E-05

0,True,False,0.02,0.2,Rot0,0,0,-0.005087068,-0.0003371836

0,True,False,0.02,0.2,Rot0,0,0,-0.00496041,-0.0006529989

0,True,False,0.02,0.2,Rot0,0,0,-0.004838073,-0.0009459558

0,True,False,0.02,0.2,Rot0,0,0,-0.004614951,-0.001235396

0,True,False,0.02,0.2,Rot0,0,0,-0.004359099,-0.001610339

0,True,False,0.02,0.2,Rot0,0,0,-0.004041279,-0.002051503

0,True,False,0.02,0.2,Rot0,0,0,-0.00366659,-0.002644659

0,True,False,0.02,0.2,Rot0,0,0,-0.003299807,-0.003337205

