PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY
0,True,False,0.02,0.2,Rot4,0,0,-0.00591886,0.009796143

0,True,False,0.02,0.2,Rot4,0,0,-0.005259374,0.008155346

0,True,False,0.02,0.2,Rot4,0,0,-0.004990821,0.007176518

0,True,False,0.02,0.2,Rot4,0,0,-0.004761075,0.006392598

0,True,False,0.02,0.2,Rot4,0,0,-0.004499198,0.005741596

0,True,False,0.02,0.2,Rot4,0,0,-0.004260953,0.005164504

0,True,False,0.02,0.2,Rot4,0,0,-0.004037383,0.004635215

0,True,False,0.02,0.2,Rot4,0,0,-0.00415056,0.004915476

0,True,False,0.02,0.2,Rot4,0,0,-0.004221973,0.005590081

0,True,False,0.02,0.2,Rot4,0,0,-0.004195015,0.006078005

0,True,False,0.02,0.2,Rot4,0,0,-0.00422511,0.006773949

0,True,False,0.02,0.2,Rot4,0,0,-0.004531098,0.00766325

0,True,False,0.02,0.2,Rot4,0,0,-0.004775725,0.008190036

0,True,False,0.02,0.2,Rot4,0,0,-0.004839545,0.008602858

0,True,False,0.02,0.2,Rot4,0,0,-0.004953142,0.009036899

0,True,False,0.02,0.2,Rot4,0,0,-0.005043583,0.009423137

0,True,False,0.02,0.2,Rot4,0,0,-0.004992086,0.009523749

0,True,False,0.02,0.2,Rot4,0,0,-0.004877125,0.009732842

0,True,False,0.02,0.2,Rot4,0,0,-0.004768306,0.009696484

0,True,False,0.02,0.2,Rot4,0,0,-0.004654116,0.009653687

0,True,False,0.02,0.2,Rot4,0,0,-0.004534933,0.009604216

0,True,False,0.02,0.2,Rot4,0,0,-0.004385523,0.009557366

0,True,False,0.02,0.2,Rot4,0,0,-0.00406439,0.009530067

0,True,False,0.02,0.2,Rot4,0,0,-0.003804767,0.009615898

0,True,False,0.02,0.2,Rot4,0,0,-0.003455307,0.009656668

0,True,False,0.02,0.2,Rot4,0,0,-0.003075499,0.009699821

0,True,False,0.02,0.2,Rot4,0,0,-0.002672605,0.009741783

0,True,False,0.02,0.2,Rot4,0,0,-0.001559088,0.01022434

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

0,True,False,0.02,0.2,Rot4,0,0,-0.0005598307,0.01138806

